Topic,Count,Name,Representation,KeyBERT,MMR,Representative_Docs
-1,7427,-1_ms_si_da_pas,"['ms', 'si', 'da', 'pas', 'hoy', 'est', 'ser', 'aos', 'va', 'gracias']","['toda', 'hace', 'va', 'vamos', 'cada', 'si', 'mismo', 'das', 'ver', 'tener']","['hoy', 'est', 'va', 'qu', 'gente', 'mundo', 'gobierno', 'pueblo', 'vida', 'aqu']","['pero el es farandulero que onda que hace todos los das en toda la semana y no va a trabajar que para eso pagamos el sueldo todos los ciudadanos de para este tipo de gente y este canal que se presta para eso', 'es el mejor pas del mundo', 'mujeres que van a dejar el corazn y el alma en la cancha por estos colores hoy si hoy vs 00 pm corazndeguerreras']"
0,1128,0_presidente_elecciones_gobierno_ms,"['presidente', 'elecciones', 'gobierno', 'ms', 'democracia', 'electoral', 'pas', 'voto', 'si', 'pueblo']","['presidente', 'presidenta', 'presidencial', 'presidencia', 'presidentes', 'elecciones', 'democrtica', 'democracia', 'dictadura', 'votos']","['presidente', 'elecciones', 'gobierno', 'democracia', 'electoral', 'socialismo', 'polticos', 'votar', 'corrupcin', 'votos']","[' no buscamos poner o quitar gobiernos en queremos democracia y elecciones libres dice el presidente espaol y da ocho das de plazo a maduro para llamar a elecciones ', ' tiene nuevo presidente ', ' he aqu tu presidente']"
1,662,1_si_nunca_vamos_ver,"['si', 'nunca', 'vamos', 'ver', 'ser', 'puede', 'va', 'aqui', 'ms', 'mierda']","['realmente', 'igual', 'claro', 'haces', 'sei', 'sabes', 'isso', 'mismo', 'importa', 'asi']","['nunca', 'vamos', 'puede', 'importa', 'mal', 'realidad', 'mejor', 'verdad', 'jugar', 'toda']","['si se puede e visto a junior quedar campen varas veces de visitante no me preocupo por pensar que no se puede en si si se puede nojoda', 'en tens que hacer mal las cosas para que nadie te haga caso porque si haces lo correcto todo el mundo comienza a perseguirte ', 'si claro ']"
2,550,2_ftbol_partido_vs_gol,"['ftbol', 'partido', 'vs', 'gol', 'copa', 'final', 'estadio', 'equipo', 'vamos', 'goles']","['eliminatoriassudamericanas', 'campeonato', 'torneo', 'jugadores', 'jugador', 'fifa', 'copaamerica', 'juego', 'ftbol', 'futbol']","['ftbol', 'vs', 'final', 'estadio', 'liga', 'jugadores', 'copaamerica', 'equipos', 'messi', 'torneo']","['la seleccin de en 82 mucho equipo para jugar ftbol ', 'este rbitro pitana le regal el gol del empate a frente a y luego aadi minutos al partido hasta que su nuevo equipo gan copa amrica el mundo del ftbol qued atnito ', 'vs en copaamerica primer partido 3 copa amrica primer triunfo 0 copa amrica primer triunfo 3 copa amrica mayor goleada 7 copa amrica']"
3,427,3_feliz_saludos_gracias_amo,"['feliz', 'saludos', 'gracias', 'amo', 'amor', 'cumpleaos', 'abrazo', 'hola', 'love', 'vida']","['felizcumpleaos', 'felicidades', 'saludos', 'cumple', 'saludo', 'gracias', 'buenas', 'agradezco', 'estimada', 'amo']","['saludos', 'amo', 'abrazo', 'hola', 'felicidades', 'navidad', 'saludo', 'cumple', 'amigos', 'aniversario']","['feliz cumpleaos amor de la ta te amo con todo mi corazn en ', 'gracias feliz a todos en ', 'gracias por ser la mejor siempre te amo feliz da en ']"
4,377,4_venezolanos_venezolano_pueblo_bolivianos,"['venezolanos', 'venezolano', 'pueblo', 'bolivianos', 'gobierno', 'si', 'pas', 'argentinos', 'presidente', 'est']","['venezolanos', 'venezolano', 'venezuela', 'venezolana', 'bolivariana', 'colombianos', 'colombiano', 'colombiana', 'cubanos', 'ecuatorianos']","['venezolanos', 'venezolano', 'bolivianos', 'argentinos', 'presidente', 'boliviano', 'colombianos', 'bolivariana', 'chilenos', 'boliviana']","['lstima que en la frontera con se quemaron dos camiones con medicamentos y alimentos que murieron venezolanos y que hubo varios heridos por el ejrcito que lanz gases lacrimgenos y perdigones sufre el pueblo venezolano que otrora nos brindara su tan preciada ayuda ', 'yo como parte del pueblo como venezolano no apoyo esto que est diciendo el seor nicols maduro con sus problemas y nosotros con los nuestros que mucho tenemos', 'esa palabra les queda grande a los colombianos seres ms hipcritas vendidos por tres luchas traicioneros que va hermanos somos ms el de los venezolanos digo porque mala parte de venezolanos son vende patria y se van arrastrarse a he dicho y punto']"
5,343,5_caf_restaurante_pizza_queso,"['caf', 'restaurante', 'pizza', 'queso', 'cacao', 'pastel', 'comida', 'pollo', 'rico', 'chocolate']","['caf', 'coffee', 'cafecito', 'deliciosa', 'cafe', 'delicioso', 'deliciosos', 'comi', 'torta', 'desayuno']","['restaurante', 'pizza', 'queso', 'comida', 'chocolate', 'almuerzo', 'desayuno', 'food', 'cafecito', 'tambin']","['bueno dos cosas con mi agradable caf mi caf de las tres tazas es procesado por colombianos tengo esa certeza si hay caf de trabajado por hermanos venezolanos en tambin le dara igual tratamiento y valor abrazos con la alegra del caf', 'el primer caf especial de nace en el futuro del caf de nuestras islas es prometedor se vienen grandes cosas para nuestros cafs con un trabajo articulado entre instituciones pblicas y privadas el caf de es el mejor caf del mundo ', 'el caf de me hace feliz']"
6,302,6_gt_em_amn_spax,"['gt', 'em', 'amn', 'spax', 'lula', 'tbt', 'olivia', 'gape', 'cinaga', 'lokolento']","['est', 'fesimo', 'em', 'juega', 'prximopartido', 'via', 'dique', 'aos', 'quedateencasa', 'er']","['spax', 'lula', 'cinaga', 'lokolento', 'activebringas', 'bolsonaronomexanomeusalrio', 'missuniverse2021', 'arequipa', 'est', 'ahorita']","['ig stories spax en adm olivia spax en ', ' gt gt el pas em ', 'esteban paredes gt gt gt gt gt gt gt gt gt el paredes de']"
7,243,7_agua_calle_transporte_gasolina,"['agua', 'calle', 'transporte', 'gasolina', 'servicio', 'luz', 'energa', 'tren', 'ciudad', 'metro']","['agua', 'elctrica', 'potable', 'cisterna', 'electricidad', 'elctrico', 'calles', 'calle', 'obra', 'terrestre']","['agua', 'transporte', 'gasolina', 'ciudad', 'metro', 'elctrica', 'calles', 'trabajos', 'carretera', 'buses']","['estamos sin energa elctrica en la calle entre y barrio la encarnacin hace mas de una hora ', 'no hay agua en los y desde el inicio de la campaa electoral en el lo que si se es que los cisternas vacan el agua de los tanques de distribucin de agua de en y se llevan el agua para', 'sin luz y ms de das sin agua ']"
8,201,8_foto_publicar_acaba_acabou,"['foto', 'publicar', 'acaba', 'acabou', 'posted', 'uma', 'photo', 'fotos', 'em', 'publi']","['foto', 'fotovieja', 'photo', 'mineduperu', 'iqfr0qvlt', 'gepostet', 'jos', 'gerade', 'fotos', 'estaralpedo']","['foto', 'publi', 'honda', 'zulia', 'zoolgico', 'manizales', 'margarita', 'montevideo', 'cmara', 'camiseta']","['acaba de publicar una foto en desde', 'acaba de publicar una foto en estado', 'acaba de publicar una foto en este ']"
9,198,9_reposted_reflexo_profecias_ricardoclaurepealoza,"['reposted', 'reflexo', 'profecias', 'ricardoclaurepealoza', 'nails', 'sinfoniascelestiales', 'like4like', 'jesus', 'biblia', 'das']","['meditante', 'dejotaeredea', 'reflexion', 'municipio', 'losvilos', 'vallejo', 'buenosdias', 'reflexiones', 'dejotaeredanceacademy', 'meditacin']","['reposted', 'reflexo', 'ricardoclaurepealoza', 'nails', 'sinfoniascelestiales', 'jesus', 'santacruz', 'meditante', 'dios', 'mara']","['de julio meditacao meditante meditacin reflexiones reflexion reflection reflexin reflexo luz paz armonia en de la ', 'de septiembre meditacao meditante meditacin reflexiones reflexion reflection reflexin reflexo luz paz armonia en de la ', 'de octubre meditacao meditante meditacin reflexiones reflexion reflection reflexin reflexo luz paz armonia en de la ']"
10,149,10_tendencia_ahora_tendencias_trndnl,"['tendencia', 'ahora', 'tendencias', 'trndnl', 'mayor', 'nmero', 'top20', 'lugar', 'cul', 'hashtags']","['tendencia', 'tendencias', 'trending', 'cambios', 'ahora', 'eegdesafiandoloslmites', 'essabadodeseguirchilenosque', 'modernizado', 'significativos', 'aparece']","['ahora', 'tendencias', 'top20', 'lugar', 'rtw', 'lunes', 'hashtag', 'mencin', 'ciudades', 'jueves']","['difundir es ahora una tendencia en ', ' es ahora una tendencia en', ' es ahora una tendencia en ']"
11,145,11_dios_iglesia_bendecido_bendiciones,"['dios', 'iglesia', 'bendecido', 'bendiciones', 'deus', 'divina', 'amen', 'bendicin', 'pastora', 'em']","['bendice', 'bendecido', 'bendiciones', 'oremos', 'deus', 'misericordia', 'amen', 'gracias', 'pastora', 'bendigan']","['iglesia', 'bendecido', 'bendiciones', 'deus', 'amen', 'pastora', 'fe', 'misericordia', 'cristiano', 'pastor']","['dios nos bendiga en ', 'en dios esta nuestra esperanza en ', 'con la bendicin de dios vamos con todo en ']"
12,131,12_coronavirus_covid19_casos_virus,"['coronavirus', 'covid19', 'casos', 'virus', 'fallecidos', 'quedateencasa', 'salud', 'ministerio', 'cuarentena', 'positivos']","['coronavirus', 'coronavirusen', 'coronavirusec', 'coronavirusbolivia', 'virus', 'corona', 'contagiados', 'contagios', 'infectados', 'vacuna']","['coronavirus', 'covid19', 'virus', 'cuarentena', 'coronavirusbolivia', 'pandemia', 'contagios', 'datos', 'tecuidomecuidas', 'muertes']","['coronavirus ya est en el ', 'ya en esta el coronavirus', 'ya hay coronavirus en']"
13,129,13_banco_servicio_dinero_comprar,"['banco', 'servicio', 'dinero', 'comprar', 'barato', 'iphone', 'si', 'pagar', 'millones', 'bs']","['cobrando', 'pagamos', 'pagar', 'pago', 'pagos', 'cuesta', 'reclamo', 'cuenta', 'dinero', 'costo']","['banco', 'dinero', 'barato', 'iphone', 'pagar', 'costo', 'paypal', 'celulares', 'cobrando', 'tarjetas']","['pra quem n teve oportunidade de conhecer o projeto para a copa sugiro pesquisar um case de sucesso em gesto de projeto e finana pblica foi o mais barato do e ainda saiu mais barato que o projeto inicial que foi ganho em licitao pelo menor preo ', 'como pueden ver que yo necesitaba llegar ayer mismo a o bien el da de hoy a primera hora no a las am como nos dice tuve que comprar un pasaje en bus obviamente solicito la devolucin de mi dinero pero ahora me lo niegan', 'con esta leccin es para que ms nunca abra cuentas en ningn banco extrajero para eso existe el banco central que depositen directamente las ventas del petrleo porque es un ladron cuatrero le vive robandon el dinero y los recursos a otro pases ']"
14,128,14_salud_hospital_pacientes_doctor,"['salud', 'hospital', 'pacientes', 'doctor', 'medicina', 'mdicos', 'paciente', 'hospitales', 'necesita', 'medicamentos']","['hospital', 'hospitales', 'enfermeras', 'pacientes', 'medico', 'enfermera', 'paciente', 'doctors', 'medicina', 'doctor']","['hospital', 'pacientes', 'medicina', 'paciente', 'hospitales', 'enfermos', 'mdica', 'emergencia', 'enfermeras', 'pensiones']","['hospital de infectologia de fiesta por la semana de seguridad del paciente gracias a todos por ser y estar en ', 'atencin mdica integral y permanente excelencia en medicina ciencia y salud salud ecuador health ciencia science medicine medico saludybienestar en ', 'en el hospital de las ya es parte de la red salud']"
15,123,15_calor_lluvia_clima_invierno,"['calor', 'lluvia', 'clima', 'invierno', 'lluvias', 'llueve', 'frio', 'sol', 'llover', 'chuva']","['calor', 'chuva', 'llueve', 'lluvia', 'heat', 'llover', 'lloviendo', 'lluvias', 'verano', 'clima']","['clima', 'invierno', 'llueve', 'frio', 'llover', 'chuva', 'tormentas', 'verano', 'temperaturas', 'viento']","['el calor que hace en ni te cuento', 'calor no lo siguiente est en ', 'la lluvia no para ']"
